Step,conv_train,conv_test,ffconv0.1_train,ffconv0.1_test,sfconv0.1_train,sfconv0.1_test
1,0.924800038,0.96575439,0.947942734,0.99956274,0.953171253,0.954085708
2,0.886856139,0.966700792,0.931568682,0.966443598,0.937685907,0.953431606
3,0.878305733,0.967489481,0.925390244,0.957575083,0.927766323,0.945542336
4,0.868571043,0.963246822,0.919247687,0.962269545,0.918264151,0.935670853
5,0.854131818,0.968568206,0.912677169,0.961353421,0.916453838,0.927257776
6,0.842849135,0.972652495,0.904534221,0.959153593,0.90763247,0.916278005
7,0.829084575,0.968638599,0.900089622,0.966541648,0.900472462,0.904009759
8,0.815808654,0.865006566,0.887758195,0.967192113,0.89179635,0.899213552
9,0.801698923,0.832389832,0.878258944,0.969312966,0.880563021,0.900301814
10,0.778687298,0.844879508,0.864125252,0.972755671,0.869945943,0.886686206
11,0.763013244,0.845415473,0.857087731,0.94652456,0.8570804,0.850654304
12,0.73826468,0.816025376,0.834385991,0.922222376,0.842023492,0.860060036
13,0.725425839,0.807344377,0.819325328,0.8978616,0.829366684,0.81143868
14,0.700950205,0.793796778,0.790387809,0.810258508,0.806557655,0.843209743
15,0.669760704,0.704460979,0.761805534,0.860550761,0.792477727,0.80643779
16,0.637118816,0.786898196,0.730361581,0.770798564,0.756925285,0.84983027
17,0.62985158,0.679944158,0.691185057,0.754704237,0.721339345,0.877925813
18,0.590948403,0.678436875,0.652854085,0.736452043,0.683915496,0.725310326
19,0.563986421,0.650555849,0.610208094,0.651852489,0.634676933,0.703473806
20,0.526337743,0.595679998,0.558738828,0.674268603,0.585779011,0.732800961
21,0.496221662,0.594432354,0.50510478,0.640123248,0.530482352,0.598792136
22,0.462786794,0.580437422,0.457531989,0.516708016,0.479035497,0.976026773
23,0.434539407,0.776870131,0.42494902,0.497862726,0.420562088,0.520970345
24,0.392382324,0.536875248,0.362993002,0.457274169,0.37414977,0.456096739
25,0.364738226,0.445961237,0.331545264,0.385608822,0.336047292,0.370182753
26,0.320999086,0.426402301,0.287972808,0.465169489,0.295541227,0.323000401
27,0.297471166,0.612431467,0.247942954,0.477401018,0.249510288,0.812815666
28,0.297666013,0.572978318,0.225265607,0.392837852,0.237777799,0.265998423
29,0.281318933,0.91926235,0.200127259,0.268996626,0.199195102,0.276333213
30,0.241005227,0.63511312,0.176394269,0.253042936,0.190075934,0.248823792
31,0.245339945,0.507068753,0.17222257,0.253287226,0.160428971,0.202771962
32,0.222171769,0.563391507,0.157907233,0.203820378,0.151740402,0.345828921
33,0.205966368,0.614776909,0.139676884,0.234241694,0.133148476,0.186597854
34,0.19795157,0.910831749,0.134327129,0.187282771,0.11895825,0.153341234
35,0.20755437,0.253248423,0.114976689,0.165893823,0.107871532,0.242770493
36,0.177724913,0.430004179,0.110636368,0.303639621,0.107973471,0.157590955
37,0.161485314,0.198798597,0.100562483,0.250274628,0.096901447,0.151358962
38,0.148077339,0.359045357,0.104070634,0.408388644,0.097144261,0.142252207
39,0.147349358,0.195079803,0.097986221,0.219193399,0.092332602,0.269509524
40,0.142681926,0.337225914,0.100316912,0.567939401,0.091747805,0.148325205
41,0.13746886,0.319256812,0.108790532,0.171446174,0.085513383,0.155747294
42,0.138798922,0.170038164,0.08846207,0.173862815,0.083107904,0.121050894
43,0.119522482,0.195439458,0.090236515,0.171837509,0.085034892,0.112688899
44,0.125748873,0.234866023,0.07697393,0.153559446,0.07767196,0.33963722
45,0.119741589,0.215649515,0.074407652,0.135413557,0.077126145,0.124313384
46,0.099267572,0.249927729,0.079779446,0.214792043,0.07353498,0.106239676
47,0.10992901,0.194913656,0.08350715,0.22473672,0.065908626,0.095761061
48,0.124303445,0.218335897,0.078988001,0.165841699,0.069729194,0.115867615
49,0.11295113,0.192572325,0.090714991,0.26720506,0.06224966,0.222924858
50,0.102688298,0.305751592,0.083601087,0.322908461,0.062027216,0.096876025
51,0.107857794,0.376982212,0.076189071,0.321157157,0.059698552,0.098127902
52,0.092169985,0.602595687,0.067246079,0.266386569,0.061941192,0.082319379
53,0.091961816,0.195185989,0.065021247,0.126398295,0.057343751,0.085472852
54,0.119138643,0.155128896,0.066645905,0.194366276,0.054844499,0.106032372
55,0.104473978,0.12503922,0.070122808,0.268732667,0.053612873,0.090750903
56,0.083711788,0.494997084,0.062642545,0.293377966,0.056802303,0.113903195
57,0.098583996,0.222908556,0.064716578,0.277218163,0.056747735,0.111373901
58,0.093249306,0.149029344,0.069508716,0.2224814,0.071267501,0.2460123
59,0.085741907,0.132750034,0.062553093,0.166429341,0.075859323,0.269920737
60,0.086967945,0.142207414,0.064144522,0.181386024,0.080131218,0.311439872
61,0.081027329,0.159956604,0.056969613,0.239085138,0.081068054,0.120019376
62,0.105159104,0.139646053,0.06843394,0.295830518,0.085638285,0.199200839
63,0.085378096,0.164308667,0.069571763,0.208019376,0.075893015,0.127284795
64,0.073549092,0.156952202,0.060338378,0.188333899,0.072853193,0.120058686
65,0.076537415,0.19329682,0.063545018,0.176506341,0.075830162,0.208487213
66,0.075839564,0.164557666,0.077350199,0.114233732,0.079979047,0.121681362
67,0.07553938,0.163852811,0.076661497,0.123706102,0.078051835,0.088931412
68,0.072724,0.438992292,0.066411614,0.141337991,0.085121959,0.107130587
69,0.066101417,0.143915147,0.072201282,0.146416277,0.063228026,0.184548348
70,0.08503437,0.504474521,0.090577483,0.098727137,0.059261173,0.12362954
71,0.070549592,0.16178757,0.069756135,0.11001429,0.056827933,0.134939432
72,0.070936605,0.464121103,0.06614019,0.183262497,0.051727861,0.093817681
73,0.080414668,0.245741904,0.066674143,0.113122046,0.052164987,0.088143885
